차종,가격,연식,주행거리,연료,변속기,배기량,색상,전손이력,침수이력,소유자변경,썬루프,내비게이션,스마트키,오토라이트,주차감지센서,열선시트,통풍시트,가죽시트
(08소5702)제네시스 G70 SPORT3.3T SPORT AWD Prestige,"3,490만원",19년01월(19년형),"40,732km",가솔린,오토,"3,342cc",흰색,없음,없음,3회,1,1,1,1,1,1,1,1
(34소2514)현대 YF쏘나타Y20 스포츠,350만원,10년02월(10년형),"156,974km",가솔린,오토,"1,998cc",회색,없음,없음,1회,0,1,1,0,1,1,0,1
(35노5787)현대 그랜저HGHG240 럭셔리,950만원,12년02월(12년형),"86,338km",가솔린,오토,0cc,인기색상,없음,없음,2회,0,0,0,0,0,0,0,0
(40보6007)현대 싼타페 DMR2.0 2WD PREMIUM 기본형,"1,290만원",15년05월(15년형),"97,905km",디젤,오토,"1,995cc",파랑색,없음,없음,1회,0,1,1,0,0,0,0,1
(03부8624)제네시스 G80 SPORT3.3T SPORT AWD,"3,830만원",17년01월(17년형),"65,664km",가솔린,오토,"3,342cc",흰색,없음,없음,2회,1,1,1,1,1,1,1,1
(28머2324)기아 올 뉴 카니발9인승 2.2 디젤 하이리무진 노블레스,"2,170만원",15년10월(16년형),"119,424km",디젤,오토,"2,199cc",검정색,없음,없음,4회,0,1,0,0,0,0,0,0
(57나2858)현대 코나1.6 터보 모던,"1,550만원",18년07월(18년형),"64,230km",가솔린,오토,"1,591cc",흰색,없음,없음,3회,0,0,1,0,1,1,0,1
(21거8206)현대 올 뉴 투싼디젤(e-VGT UⅡ)1.7 2WD 모던,"1,550만원",17년03월(17년형),"63,588km",디젤,오토,0cc,흰색,없음,없음,없음,0,1,0,0,0,0,0,1
(31모5564)현대 YF쏘나타Y20 탑 기본형,440만원,10년03월(10년형),"160,699km",가솔린,오토,0cc,회색,없음,없음,5회,0,0,0,0,0,0,0,0
(199조7740)제네시스 G70 SPORT3.3T SPORT AWD Prestige,"3,350만원",19년05월(19년형),"57,709km",가솔린,오토,"3,342cc",청색(로얄 블루),없음,없음,3회,1,1,1,1,1,1,1,1
(37구5969)현대 싼타페 TM디젤 2.0 2WD 인스퍼레이션,"2,590만원",18년10월(19년형),"85,374km",디젤,오토,"1,995cc",흰색,없음,없음,2회,1,1,1,1,1,1,1,1
(40누4519)현대 그랜저HGHG300 프리미엄,990만원,15년08월(15년형),"76,000km",가솔린,오토,0cc,검정색,없음,없음,3회,0,0,0,0,0,0,0,0
(29주6101)기아 레이1.0 가솔린 프레스티지,765만원,14년10월(15년형),"87,184km",가솔린,오토,998cc,파랑색,없음,없음,7회,0,1,1,1,1,1,0,1
(24나5486)현대 그랜저 뉴 럭셔리Q270 LPi PACK I,290만원,08년06월(09년형),"187,000km",LPG,오토,"2,656cc",은색,없음,없음,5회,0,1,0,1,1,1,0,1
(169너1274)현대 올 뉴 아반떼(CN7)1.6 가솔린 인스퍼레이션,"2,200만원",20년10월(21년형),"37,208km",가솔린,오토,"1,598cc",회색,없음,없음,1회,0,0,0,0,0,0,0,0
(156호1425)기아 카니발 4세대하이리무진 D2.2 9인승 시그니처,"4,660만원",21년03월(21년형),"29,000km",디젤,오토,"2,200cc",진주색,없음,없음,없음,0,1,1,1,1,1,1,1
(03로6862)현대 싼타페 DMR2.0 2WD PREMIUM 기본형,"1,080만원",12년10월(13년형),"139,560km",디젤,오토,"1,995cc",흰색,없음,없음,2회,1,1,1,1,1,1,1,1
(169다8363)KG모빌리티 토레스(J100)1.5 GDI 터보 T5,"2,470만원",23년04월(23년형),"13,960km",가솔린,오토,"1,497cc",흰색,없음,없음,1회,0,1,1,1,1,1,0,1
(10마9009)현대 올 뉴 투싼디젤(e-VGT R)2.0 2WD 모던,"1,600만원",17년10월(18년형),"80,638km",디젤,오토,"2,000cc",흰색,없음,없음,3회,0,1,1,1,1,1,1,1
(16저3825)현대 YF쏘나타Y20 프리미어 고급형,399만원,10년03월(10년형),"119,874km",가솔린,오토,0cc,흰색,없음,없음,4회,0,1,1,0,0,0,0,1
(77거4113)현대 그랜드스타렉스캠핑카,"1,490만원",13년07월(13년형),"127,000km",디젤,오토,"2,497cc",검정색,없음,없음,1회,0,0,0,0,0,0,0,0
(820무8946)기아 더 뉴 봉고3내장탑차 1톤 플러스형 킹캡 초장축 L,"1,999만원",22년04월(22년형),"25,311km",디젤,오토,0cc,흰색,없음,없음,1회,0,0,1,0,0,0,0,1
(261로7576)르노코리아 SM62.0 GDe Premiere,"1,950만원",20년03월(20년형),"28,052km",가솔린,오토,"1,997cc",회색,없음,없음,1회,0,1,1,1,1,1,1,1
(165어4926)기아 K7 프리미어2.5 GDi 노블레스,"2,590만원",20년05월(20년형),"26,541km",가솔린,오토,0cc,흰색,없음,없음,1회,1,0,0,0,0,0,0,1
(272보2739)현대 캐스퍼1.0 터보 가솔린 인스퍼레이션,"1,720만원",22년01월(22년형),"14,499km",가솔린,오토,998cc,청색,없음,없음,없음,1,1,0,0,0,1,1,0
(147거1796)기아 모하비 더마스터3.0 디젤 4WD 마스터즈,"3,880만원",20년11월(21년형),"60,767km",디젤,오토,"2,959cc",검정색,없음,없음,1회,1,1,1,1,1,1,1,1
(229너1377)현대 더 뉴 그랜저2.5 캘리그래피,"3,530만원",20년04월(20년형),"39,947km",가솔린,오토,"2,497cc",흰색,없음,없음,1회,1,1,1,1,1,1,1,1
(27서0578)현대 그랜저HGHG240 모던,"1,180만원",16년01월(16년형),"116,550km",가솔린,오토,"2,359cc",흰색,없음,없음,1회,1,1,1,1,1,1,1,1
(296라5316)제네시스 G702.0T AWD Elite,"2,790만원",20년12월(20년형),"88,844km",가솔린,오토,"2,000cc",회색,없음,없음,3회,1,1,1,1,1,1,1,1
(45보4432)현대 그랜저IG3.0 익스클루시브 기본형,"2,050만원",17년06월(18년형),"61,731km",가솔린,오토,0cc,회색,없음,없음,없음,1,0,0,0,0,0,0,0
(149하5905)한국GM 더 뉴 스파크마이핏 에디션 기본형,"1,080만원",21년01월(21년형),"9,000km",가솔린,CVT,999cc,흰색,없음,없음,없음,0,0,1,1,1,1,0,1
(328루9027)현대 더 뉴 싼타페 TM가솔린 2.5T 2WD 캘리그래피,"3,220만원",20년12월(21년형),"52,632km",가솔린,오토,"2,497cc",흰색(글레이셔 화이트),없음,없음,2회,1,1,1,1,1,1,1,1
(68러1351)현대 아반떼MDM16 GDi LUXURY,590만원,11년11월(12년형),"97,645km",가솔린,오토,"1,591cc",회색,없음,없음,1회,0,0,0,1,1,1,0,1
(01노1315)한국GM 올 뉴 크루즈1.4 터보 LT 디럭스,990만원,17년05월(17년형),"43,290km",가솔린,오토,"1,399cc",은색,없음,없음,2회,0,0,1,1,1,1,0,1
(199누1967)현대 싼타페 TM디젤 2.2 2WD 프리미엄,"1,690만원",20년03월(20년형),"125,408km",디젤,오토,0cc,검정색,없음,없음,2회,0,0,1,0,0,0,0,1
(198너9407)현대 더 뉴 그랜저2.5 프리미엄 초이스,"2,690만원",20년02월(20년형),"44,865km",가솔린,오토,0cc,진주색,없음,없음,2회,0,1,1,0,0,0,0,1
(83마3860)기아 더 뉴 봉고31톤 더블캡 초장축 2WD L,"1,730만원",19년10월(20년형),"29,723km",디젤,오토,"2,497cc",파랑색,없음,없음,1회,0,1,0,0,1,1,0,1
(344주9828)기아 올 뉴 카니발9인승 2.2 디젤 프레스티지,"1,799만원",17년10월(18년형),"72,421km",디젤,오토,"2,199cc",진주색,없음,없음,2회,0,1,1,1,1,1,1,1
(233서8443)현대 더 뉴 그랜저2.5 프리미엄 초이스,"1,990만원",20년07월(20년형),"107,387km",가솔린,오토,"2,497cc",회색,없음,없음,1회,0,1,1,1,1,1,1,1
(237도3047)기아 K7 프리미어 하이브리드2.4 HEV 노블레스,"2,170만원",20년04월(20년형),"83,057km",하이브리드(가솔린),오토,"2,359cc",파랑색,없음,없음,6회,1,1,1,1,1,1,1,1
(33로1512)현대 싼타페 DMR2.0 2WD EXCLUSIVE 스페셜,"1,640만원",15년01월(15년형),"94,000km",디젤,오토,"1,995cc",흰색,없음,없음,1회,1,1,1,1,1,1,1,1
(126거8169)현대 더 뉴 그랜저 하이브리드2.4 르블랑,"3,250만원",21년12월(22년형),"46,079km",하이브리드(가솔린),오토,0cc,흰색,없음,없음,1회,0,1,0,0,0,0,0,0
(62저5946)KG모빌리티 티볼리디젤 LX 기본형,880만원,17년02월(17년형),"113,167km",디젤,오토,"1,597cc",흰색,없음,없음,2회,1,1,1,0,1,1,0,1
(14러4073)기아 더 뉴 모하비4WD 프레지던트 7인승,"2,150만원",17년11월(18년형),"118,632km",디젤,오토,"2,959cc",검정색,없음,없음,1회,0,0,0,0,0,0,0,0
(32어8418)현대 싼타페 DMR2.0 2WD PREMIUM 기본형,980만원,12년11월(13년형),"156,836km",디젤,오토,"1,995cc",흰색,없음,없음,4회,1,1,1,1,1,1,1,1
(29고4567)KG모빌리티 티볼리 아머1.6 디젤 기어 플러스 2WD,"1,560만원",18년12월(19년형),"3,786km",디젤,오토,"1,597cc",흰색,없음,없음,2회,0,1,0,0,0,0,0,0
(285두2121)현대 싼타페 TM가솔린 2.0T 2WD 인스퍼레이션,"3,130만원",20년05월(20년형),"49,087km",가솔린,오토,"1,998cc",흰색,없음,없음,없음,1,1,1,1,1,1,1,1
(61다5490)기아 올 뉴 K72.2 디젤 리미티드,"1,740만원",17년08월(17년형),"69,530km",디젤,오토,"2,199cc",검정색,없음,없음,4회,0,1,1,1,1,1,1,1
(144주1916)기아 올 뉴 카니발9인승 2.2 디젤 프레스티지,"1,390만원",15년10월(16년형),"104,491km",디젤,오토,"2,199cc",다크그레이,없음,없음,5회,0,1,1,1,1,1,1,1
(33우2661)현대 제네시스DHG380 프레스티지 AWD 기본형,"1,850만원",14년08월(15년형),"96,953km",가솔린,오토,0cc,검정색,없음,없음,3회,0,1,0,0,0,0,0,0
(02러8925)제네시스 G803.3 GDI 프리미엄 럭셔리,"2,390만원",17년04월(17년형),"67,846km",가솔린,오토,"3,342cc",검정색,없음,없음,3회,1,1,1,1,1,1,1,1
(46도5018)기아 EV6롱 레인지 4WD GT-Line,"4,500만원",22년10월(23년형),"8,000km",전기,,111cc,검정색,없음,없음,1회,0,1,1,1,1,1,1,0
(72주5500)현대 트라제XGLPG V6 GLS 기본형,390만원,00년10월(00년형),"109,893km",LPG,오토,"2,656cc",검정색,없음,없음,2회,0,0,0,0,0,0,0,0
(68노7302)기아 K3트렌디,850만원,14년03월(14년형),"92,994km",가솔린,오토,"1,600cc",진주색,없음,없음,1회,0,1,1,1,1,1,0,1
(58누1431)현대 그랜저HGHG240 모던,730만원,13년01월(13년형),"114,000km",가솔린,오토,0cc,회색,없음,없음,없음,0,0,0,0,0,0,0,0
(50소5083)한국GM 올 뉴 말리부2.0 터보 LT 프리미엄,"1,190만원",17년02월(17년형),"67,198km",가솔린,오토,"1,998cc",회색,없음,없음,3회,0,1,1,1,1,1,0,1
(05로3674)기아 더 뉴 레이1.0 가솔린 럭셔리,"1,130만원",19년02월(19년형),"55,623km",가솔린,오토,998cc,흰색,없음,없음,2회,0,1,1,1,1,1,0,1
(184가3336)현대 쏘나타 (DN8)2.0 프리미엄,"1,790만원",20년01월(20년형),"72,746km",가솔린,오토,"1,999cc",파랑색,없음,없음,2회,0,0,0,1,1,1,0,1
(323나6117)현대 올 뉴 아반떼 하이브리드(CN7)모던,"2,290만원",22년01월(22년형),"35,839km",하이브리드(가솔린),오토,"1,580cc",흰색,없음,없음,4회,0,0,1,0,0,0,0,0
(34소0114)현대 아반떼AD1.6 GDi Value Plus,"1,190만원",16년10월(17년형),"55,685km",가솔린,오토,"1,591cc",회색,없음,없음,1회,0,1,1,0,0,0,0,1
