브랜드,차이름,가격,연식,주행거리,연료,변속기,배기량,색상,소유자변경,썬루프,내비게이션,스마트키,오토라이트,주차감지센서,열선시트,통풍시트,가죽시트,사고이력,사이트
기아,쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD  그래비티,"4,500만원",2023.04,"6,049 km",가솔린 하이브리드,자동,"1,598 cc (230마력)",흰색,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
현대,제네시스 DH G330 프리미엄,"1,430만원",2015.06,"167,832 km",가솔린,자동,"3,342 cc (282마력)",검정색,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
기아,K5 하이브리드 2.0 HEV  시그니처,"2,580만원",2020.02,"79,938 km",가솔린 하이브리드,자동,"1,999 cc (152마력)",흰색,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
기아,K8 3.5 LPi   프레스티지,"2,850만원",2021.05,"59,354 km",LPG,자동,"3,470 cc (240마력)",검정색,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
현대,그랜저HG 240 모던,699만원,2013.04,"112,949 km",가솔린,자동,"2,359 cc (201마력)",회색,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0,bobae
기아,올 뉴 카니발 2.2 디젤 7인승 하이리무진  프레지던트,"3,250만원",2020.1,"81,414 km",디젤,자동,"2,151 cc (202마력)",흰색,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
기아,더 뉴 카니발  2.2 디젤 9인승 노블레스,"1,850만원",2018.03,"84,306 km",디젤,자동,"2,199 cc (202마력)",검정색,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
기아,카니발 4세대 2.2 디젤 9인승  프레스티지,"2,390만원",2021.01,"144,830 km",디젤,자동,"2,151 cc (202마력)",흰색,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,bobae
기아,올 뉴 모닝 1.0 프레스티지,770만원,2017.07,"101,822 km",가솔린,자동,998 cc (),검정색,0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,bobae
현대,쏘나타 1.6 터보  프리미엄 밀레니얼,"2,090만원",2020.06,"42,995 km",가솔린,자동,"1,598 cc (180마력)",검정색,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
현대,쏘나타 2.0 LPi   스마트,"1,450만원",2019.11,"91,410 km",LPG,자동,"1,999 cc (146마력)",검정색,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,bobae
KG모빌리티,코란도 스포츠 2.0 디젤 4WD CX7 패션,459만원,2012.11,"167,000 km",디젤,자동,"1,998 cc (155마력)",진회색,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0,bobae
기아,더 K9 3.3 터보 AWD  마스터즈Ⅲ,"3,590만원",2018.08,"61,150 km",가솔린,자동,"3,342 cc (370마력)",검정색,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
르노코리아,뉴 SM3 1.6 RE,199만원,2010.02,"144,000 km",가솔린,자동,"1,598 cc (112마력)",진주색,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,bobae
쉐보레,올란도 2.0 디젤 LS 고급형,319만원,2013.09,"155,000 km",디젤,자동,"1,998 cc (163마력)",흰색,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bobae
쉐보레,말리부 2.0  LT 디럭스팩,349만원,2012.04,"165,111 km",가솔린,자동,"1,998 cc (141마력)",검정색,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,bobae
쉐보레,말리부 2.0  LT 디럭스팩,420만원,2012.06,"131,105 km",가솔린,자동,"1,998 cc (141마력)",흰색,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,bobae
기아,더 뉴 K7 2.4  프레스티지,700만원,2013.08,"173,832 km",가솔린,자동,"2,359 cc (201마력)",흰색,0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0,bobae
기아,올 뉴 K7 2.2 디젤  프레스티지,990만원,2016.02,"155,763 km",디젤,자동,"2,199 cc (202마력)",검정색,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,bobae
기아,올 뉴 모닝 1.0  럭셔리,670만원,2017.05,"110,302 km",가솔린,자동,998 cc (),검정색,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,bobae
기아,더 뉴 모닝 1.0  럭셔리,390만원,2015.08,"111,155 km",가솔린,자동,998 cc (),흰색,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,bobae
KG모빌리티,코란도 스포츠 2.0 디젤 2WD  CX5 클럽,450만원,2013.02,"165,151 km",디젤,자동,"1,998 cc (155마력)",진회색,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0,bobae
기아,더 뉴 레이 1.0  프레스티지,"1,600만원",2023.04,"19,355 km",가솔린,자동,998 cc (76마력),흰색,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,bobae
현대,뉴 투싼ix 2.0 디젤 4WD  프리미엄,690만원,2013.08,"163,639 km",디젤,자동,"1,995 cc (184마력)",흰색,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
쉐보레,말리부 2.0 디젤  LT 프리미엄팩,450만원,2014.09,"181,563 km",디젤,자동,"1,956 cc (156마력)",흰색,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,bobae
기아,올 뉴 모닝 1.0  럭셔리,740만원,2018.04,"98,582 km",가솔린,자동,998 cc (),흰색,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,bobae
기아,K5 하이브리드 2.0 HEV 프레스티지,750만원,2011.09,780 km,가솔린 하이브리드,자동,"1,999 cc (191마력)",검정색,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
기아,K5 하이브리드 2.0 HEV  프레스티지,629만원,2012.02,"78,850 km",가솔린 하이브리드,자동,"1,999 cc (191마력)",흰색,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
기아,레이 1.0  디럭스,490만원,2014.02,"141,187 km",가솔린,자동,998 cc (78마력),베이지색,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,bobae
현대,아반떼AD 1.6 LPi  스마트,640만원,2016.05,"171,409 km",LPG,자동,"1,591 cc (120마력)",흰색,0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,bobae
현대,싼타페DM 2.0 디젤 4WD  프리미엄,999만원,2013.11,"155,363 km",디젤,자동,"1,995 cc (184마력)",검정색,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,bobae
현대,LF쏘나타 2.4  익스클루시브,799만원,2014.11,"145,831 km",가솔린,자동,"2,359 cc (193마력)",회색,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,bobae
KG모빌리티,뉴 코란도 C 2.0 디젤 4WD  CVT 고급형,490만원,2013.1,"154,884 km",디젤,자동,"1,998 cc (181마력)",검정색,0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0,bobae
르노코리아,QM3 1.5 디젤  RE,540만원,2014.01,"156,951 km",디젤,자동,"1,461 cc (90마력)",베이지색,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,bobae
기아,K5 2세대 2.0 LPi  MX 럭셔리,899만원,2015.11,"99,434 km",LPG,자동,"1,999 cc (151마력)",흰색,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,bobae
기아,더 뉴 스포티지R 2.0 디젤 2WD 프레스티지,830만원,2013.08,"107,504 km",디젤,자동,"1,995 cc (184마력)",흰색,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0,bobae
현대,그랜저IG 3.0  익스클루시브,"1,270만원",2016.12,"178,082 km",가솔린,자동,"2,999 cc (266마력)",검정색,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0,bobae
쉐보레,캡티바 2.2 디젤 4WD  LT,570만원,2012.09,"116,331 km",디젤,자동,"2,231 cc (184마력)",회색,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0,bobae
기아,K5 2.0 프레스티지,450만원,2010.07,"167,199 km",가솔린,자동,"1,998 cc (165마력)",은색,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,bobae
현대,그랜저HG 330 셀러브리티,670만원,2012.09,"210,988 km",가솔린,자동,"3,342 cc (294마력)",검정색,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
르노코리아,SM5 노바 2.0 LPLi  고급형,650만원,2016.07,"77,265 km",LPG,자동,"1,998 cc ()",은색,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,bobae
현대,베라크루즈 3.0 디젤 2WD VX 럭셔리,550만원,2007.08,"136,470 km",디젤,자동,"2,959 cc (240마력)",회색,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,bobae
기아,더 뉴 K3 1.6  프레스티지,380만원,2016.02,"133,996 km",가솔린,자동,"1,591 cc (132마력)",흰색,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,bobae
기아,쏘렌토R 2.2 디젤 2WD TLX 최고급형,469만원,2009.06,"159,000 km",디젤,자동,"2,199 cc (200마력)",은색투톤,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,bobae
쉐보레,스파크 1.0  LS 스타,270만원,2011.03,270 km,가솔린,자동,995 cc (70마력),은하늘색,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0,bobae
쉐보레,스파크 1.0 LPGi L,199만원,2014.04,"150,000 km",LPG,수동,995 cc (65마력),흰색,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bobae
현대,뉴 에쿠스 3.8  VS380 프라임,499만원,2009.09,"177,077 km",가솔린,자동,"3,778 cc (290마력)",은색,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,bobae
현대,그랜저HG 300 프라임,499만원,2012.11,"163,000 km",가솔린,자동,"2,999 cc (270마력)",검정색,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,bobae
기아,더 K9 3.3 터보 AWD  마스터즈Ⅱ,"3,390만원",2018.05,"67,260 km",가솔린,자동,"3,342 cc ()",검정색,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bobae
르노코리아,뉴 SM5  2.0 SE,199만원,2010.02,"111,000 km",가솔린,자동,"1,998 cc (141마력)",검정색,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,bobae
현대,그랜드스타렉스 어린이보호차 디젤 12인승 2WD,529만원,2012.06,"147,000 km",디젤,자동,"2,497 cc (175마력)",노란색,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,bobae
제네시스,GV80 2.5 터보 AWD  5인승,"7,390만원",2023.06,"9,963 km",가솔린,자동,"2,497 cc (304마력)",흰색, 1회,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bobae
