차종,가격,연식,주행거리,연료,변속기,색상,배기량,소유자변경,사고이력,열선시트,통풍시트,내비게이션,스마트키,썬루프,오토라이트,주차감지센서,가죽시트
기아 더 뉴 K3 트렌디 스타일,"1,170만원",18년 3월식,"71,890km",가솔린,,흰색,"1,591cc",0,무사고,1,0,1,1,0,0,0,1
기아 더 뉴 레이 럭셔리,"1,210만원",19년 10월식,"33,589km",가솔린,,검정색,998cc,0,무사고,1,0,1,1,0,0,0,1
쉐보레(GM대우) 캡티바 4WD LTZ,760만원,13년 4월식,"87,535km",디젤,,쥐색,"2,231cc",0,단순수리,1,0,1,1,0,0,0,0
기아 K5 3세대 가솔린 2.0 시그니처,"2,800만원",22년 11월식(23년형),"20,325km",가솔린,,쥐색,"1,999cc",0,무사고,1,1,1,1,0,0,0,0
기아 더 뉴 레이 프레스티지,"1,320만원",21년 7월식(22년형),"27,348km",가솔린,,진주색,998cc,0,무사고,1,0,1,1,0,0,0,1
BMW 3시리즈 (F30) 320d,"1,230만원",13년 6월식,"88,543km",디젤,,흰색,"1,995cc",0,무사고,1,0,1,1,0,0,0,1
현대 올 뉴 투싼 TL 가솔린 1.6 터보 2WD 모던,"2,230만원",20년 2월식,"33,823km",가솔린,,흰색,"1,591cc",0,무사고,1,0,1,1,0,0,0,1
르노코리아(삼성) 뉴 QM6 가솔린 2.0 LE,"1,750만원",20년 11월식(21년형),"23,240km",가솔린,,흰색,"1,997cc",0,사고,1,0,1,1,0,0,0,0
현대 싼타페 DM 디젤(e-VGT) 2.2 4WD 프리미엄,"1,350만원",12년 10월식(13년형),"80,900km",디젤,,은색,"2,199cc",0,무사고,1,1,1,1,0,0,0,0
지프 체로키(KL) 2.4 리미티드 AWD,"2,350만원",20년 6월식,"49,768km",가솔린,,흰색,"2,360cc",0,무사고,1,1,1,1,0,0,0,0
현대 싼타페 DM 디젤(e-VGT) 2.0 4WD 익스클루시브 세부등급 없음,"1,380만원",15년 1월식,"66,489km",디젤,,검정색,"1,995cc",0,사고,1,1,1,1,0,0,0,0
현대 엑센트(신형) 1.4 VVT 모던,"1,030만원",19년 3월식,"45,206km",가솔린,,흰색,"1,368cc",0,무사고,1,0,1,1,0,0,0,1
기아 더 뉴 니로 노블레스 스폐셜,"2,460만원",20년 4월식,"29,103km",가솔린+전기,,흰색,"1,580cc",0,무사고,1,1,1,1,0,0,0,0
현대 쏘나타 DN8 1.6 터보 프리미엄 패밀리,"2,390만원",21년 3월식,"41,619km",가솔린,,흰색,"1,598cc",0,무사고,1,1,1,1,0,0,0,0
현대 쏘나타 DN8 1.6 터보 프리미엄 패밀리,"1,930만원",19년 12월식(20년형),"96,357km",가솔린,,쥐색,"1,598cc",0,단순수리,1,1,1,1,0,0,0,0
기아 K5 2세대 2.0 SX 프레스티지,"1,490만원",16년 9월식(17년형),"32,445km",가솔린,,검정색,"1,999cc",0,무사고,1,0,1,1,0,0,0,0
현대 쏘나타 하이브리드 2.0 프리미어,840만원,12년 5월식,"118,275km",가솔린+전기,,흰색,"1,999cc",0,단순수리,1,0,1,1,0,0,0,1
쉐보레(GM대우) 더 뉴 트랙스 1.4 프리미어,"1,180만원",19년 4월식,"95,627km",가솔린,,흰색,"1,362cc",0,무사고,1,0,0,1,0,0,0,1
기아 레이 터보 프레스티지,990만원,14년 10월식(15년형),"77,280km",가솔린,,흰색,998cc,0,단순수리,1,0,1,1,0,0,0,1
현대 i30 (PD) 1.4 터보 모던,"1,420만원",16년 11월식(17년형),"29,491km",가솔린,,청색,"1,353cc",0,무사고,1,0,1,1,0,0,0,0
쉐보레(GM대우) 더 뉴 카마로  SS 6.2,"4,330만원",21년 12월식,"34,949km",가솔린,,검정색,"6,162cc",0,무사고,1,1,1,1,0,0,0,0
쉐보레(GM대우) 스파크 LT 기본형,510만원,13년 4월식,"31,042km",가솔린,,은색,995cc,0,단순수리,1,0,1,0,0,0,0,1
기아 더 뉴 레이 럭셔리,"1,190만원",19년 11월식,"40,706km",가솔린,,흰색,998cc,0,무사고,1,0,1,1,0,0,0,1
현대 포터2 CRDi 카고 초장축 슈퍼캡  스마트,"2,050만원",22년 7월식,"12,916km",디젤,,흰색,"2,497cc",0,무사고,1,1,0,0,0,0,0,1
KG모빌리티(쌍용) 티볼리 아머 LX 4WD,"1,570만원",18년 10월식(19년형),"57,500km",가솔린,,흰색,"1,597cc",0,무사고,1,1,1,1,0,0,0,0
기아 더 뉴 K5 2세대 2.0 프레스티지,"1,750만원",19년 2월식,"45,358km",가솔린,,흰색,"1,999cc",0,단순수리,1,1,1,1,0,0,0,0
기아 더 K9 3.8 GDI 플래티넘Ⅱ,"2,580만원",19년 9월식(20년형),"112,576km",가솔린,,검정색,"3,778cc",0,단순수리,1,1,1,0,0,0,0,0
르노코리아(삼성) 뉴 QM6 LPG 2.0 (일반인 판매용) LE 시그니처,"2,380만원",21년 11월식(22년형),"38,693km",LPG,,흰색,"1,998cc",0,무사고,1,0,1,1,0,0,0,0
쉐보레(GM대우) 더 뉴 스파크 LT,920만원,21년 1월식,"10,314km",가솔린,,진주색,999cc,0,무사고,0,0,0,0,0,0,0,0
기아 레이 럭셔리,880만원,15년 1월식,"53,284km",가솔린,,하늘색,998cc,0,무사고,1,0,0,1,0,0,0,1
쉐보레(GM대우) 더 뉴 스파크 LT,820만원,20년 11월식(21년형),"26,250km",가솔린,,쥐색,999cc,0,무사고,0,0,1,0,0,0,0,0
기아 올 뉴 모닝 (JA) 프레스티지,850만원,17년 3월식,"55,948km",가솔린,,흰색,998cc,0,무사고,1,0,0,1,0,0,0,1
쉐보레(GM대우) 더 넥스트 스파크 LTZ,760만원,16년 10월식(17년형),"44,384km",가솔린,,검정색,999cc,0,단순수리,1,0,1,1,0,0,0,1
현대 아반떼 AD 1.6 GDI 프리미엄,"1,490만원",16년 6월식,"25,755km",가솔린,,흰색,"1,591cc",0,단순수리,1,1,1,1,0,0,0,0
현대 제네시스 BH330 프리미엄 기본형,930만원,13년 1월식,"147,675km",가솔린,,은회색,"3,342cc",0,단순수리,1,0,1,1,0,0,0,0
기아 셀토스 가솔린 터보 1.6 4WD 노블레스,"2,230만원",19년 11월식(20년형),"46,033km",가솔린,,청색,"1,591cc",0,무사고,1,1,1,1,0,0,0,0
현대 쏘나타 DN8 하이브리드 프리미엄 패밀리,"2,120만원",20년 12월식(21년형),"88,573km",가솔린+전기,,검정색,"1,999cc",0,무사고,1,1,1,1,0,0,0,0
기아 모닝 어반 가솔린 1.0 프레스티지,"1,290만원",22년 11월식(23년형),"2,461km",가솔린,,흰색,998cc,0,무사고,1,1,1,1,0,0,0,0
현대 포터2 CRDi 카고 초장축 슈퍼캡  스마트,"1,330만원",20년 1월식,"135,526km",디젤,,흰색,"2,497cc",0,무사고,1,0,0,0,0,0,0,1
현대 더 뉴 그랜저 하이브리드 가솔린 2.4 하이브리드 캘리그래피,"3,220만원",20년 7월식,"80,643km",가솔린+전기,,쥐색,"2,359cc",0,무사고,1,1,1,0,0,0,0,0
기아 올 뉴 카니발 9인승 프레스티지,"1,780만원",17년 2월식,"64,937km",디젤,,검정색,"2,199cc",0,무사고,1,1,1,1,0,0,0,0
기아 더 뉴 봉고III 트럭 CRDi 카고 1톤 2WD 초장축 킹캡 L,"2,090만원",23년 8월식,"9,870km",디젤,,흰색,"2,497cc",0,무사고,1,1,1,0,0,0,0,1
KG모빌리티(쌍용) 티볼리 TX 2WD 세부등급 없음,730만원,17년 4월식,"69,665km",가솔린,,검정색,"1,597cc",0,사고,0,0,1,0,0,0,0,0
기아 카니발 (4세대) 디젤 2.2 (9인승) 시그니처,"3,870만원",22년 9월식(23년형),"37,712km",디젤,,검정색,"2,151cc",0,무사고,1,1,1,0,0,0,0,0
현대 더 뉴 그랜저 하이브리드 가솔린 2.4 하이브리드 르블랑,"3,780만원",22년 5월식,"23,879km",가솔린+전기,,검정색,"2,359cc",0,단순수리,1,1,1,0,0,0,0,0
기아 스포티지 4세대 디젤 2.0 2WD 프레스티지,"1,450만원",16년 3월식,"83,771km",디젤,,흰색,"1,995cc",0,무사고,1,1,1,1,0,0,0,0
기아 셀토스 디젤 1.6 2WD 트렌디,"1,900만원",21년 3월식(22년형),"37,011km",디젤,,흰색,"1,598cc",0,무사고,1,0,1,1,0,0,0,0
기아 더 뉴 카니발 9인승 노블레스 스페셜,"2,190만원",18년 10월식(19년형),"96,335km",디젤,,검정색,"2,199cc",0,무사고,1,1,1,0,0,0,0,0
현대 그랜저 IG 2.4 프리미엄 스페셜,"2,080만원",18년 6월식(19년형),"81,972km",가솔린,,검정색,"2,359cc",0,무사고,1,1,1,1,0,0,0,0
현대 뉴 투싼 ix 디젤(e-VGT) 2WD 스마트 스페셜,830만원,14년 11월식(15년형),"94,473km",디젤,,은색,"1,995cc",0,단순수리,1,0,1,1,0,0,0,1
현대 쏘나타 뉴 라이즈 2.0 스마트 초이스,"1,290만원",19년 1월식,"115,347km",가솔린,,쥐색,"1,999cc",0,사고,1,1,1,1,0,0,0,0
기아 K7 프리미어 가솔린 2.5 프레스티지,"2,170만원",20년 1월식,"40,231km",가솔린,,쥐색,"2,497cc",0,무사고,1,1,1,1,0,0,0,0
푸조 3008 2세대 1.5 BlueHDi GT Line,"2,230만원",20년 6월식,"49,405km",디젤,,흰색,"1,499cc",0,단순수리,1,0,0,1,0,0,0,0
쉐보레(GM대우) 더 뉴 말리부 1.3 터보 프리미어 세부등급없음,"1,870만원",21년 7월식,"35,709km",가솔린,,진주색,"1,341cc",0,무사고,1,1,1,1,0,0,0,0
기아 스포티지 R 가솔린 터보 GDI 4WD 리미티드,"1,190만원",12년 9월식(13년형),"87,105km",가솔린,,검정색,"1,998cc",0,무사고,1,1,1,1,0,0,0,0
현대 아이오닉 하이브리드 N 세부등급 없음,"1,570만원",18년 8월식(19년형),"47,613km",가솔린+전기,,은색,"1,580cc",0,단순수리,1,1,0,1,0,0,0,1
닛산 패스파인더 4세대 3.5 4WD,"1,380만원",14년 6월식,"71,167km",가솔린,,은색,"3,498cc",0,단순수리,1,1,1,1,0,0,0,0
제네시스 EQ900 3.8 GDI AWD 프리미엄 럭셔리,"3,120만원",16년 1월식,"94,459km",가솔린,,검정색,"3,778cc",0,무사고,1,1,1,0,0,0,0,0
쉐보레(GM대우) 더 뉴 트랙스 1.4 LT 코어,"1,420만원",20년 1월식,"31,415km",가솔린,,흰색,"1,362cc",0,무사고,1,0,0,1,0,0,0,1
현대 아반떼 AD 1.6 GDI 밸류 플러스,"1,270만원",18년 7월식,"82,964km",가솔린,,흰색,"1,591cc",0,무사고,1,0,1,1,0,0,0,1
제네시스 G80 3.3 GDI 럭셔리,"2,790만원",19년 9월식,"81,052km",가솔린,,흰색,"3,342cc",0,무사고,1,1,1,0,0,0,0,0
르노코리아(삼성) 뉴SM5 플래티넘 SE 플러스,590만원,13년 3월식,"95,120km",가솔린,,검정색,"1,998cc",0,무사고,1,0,1,1,0,0,0,1
기아 셀토스 가솔린 터보 1.6 2WD 시그니처,"2,390만원",21년 1월식(22년형),"24,694km",가솔린,,흰색,"1,591cc",0,무사고,1,1,1,1,0,0,0,0
현대 쏘나타 뉴 라이즈 LPI 모던(장애인용),"1,690만원",18년 3월식,"83,429km",LPG,,흰색,"1,999cc",0,무사고,1,1,1,1,0,0,0,0
벤츠 E-클래스 W212 E220 블루텍 아방가르드 스포츠,"1,690만원",16년 3월식,"117,126km",디젤,,쥐색,"2,143cc",0,무사고,1,0,0,1,0,0,0,0
현대 LF 쏘나타 2.0 프리미엄 세부등급 없음,"1,420만원",14년 8월식(15년형),"98,933km",가솔린,,흰색,"1,999cc",0,무사고,1,1,1,1,0,0,0,0
기아 더 뉴 레이 럭셔리,"1,270만원",20년 6월식,"10,006km",가솔린,,흰색,998cc,0,무사고,1,0,0,1,0,0,0,1
기아 K5 2세대 2.0 MX 프레스티지,"1,150만원",17년 7월식(18년형),"131,373km",가솔린,,쥐색,"1,999cc",0,단순수리,1,0,1,1,0,0,0,1
기아 니로 프레스티지,"1,650만원",18년 4월식,"88,818km",가솔린+전기,,청색,"1,580cc",0,무사고,1,1,0,1,0,0,0,0
KG모빌리티(쌍용) 뷰티풀 코란도 가솔린 2WD C5 플러스,"2,010만원",22년 6월식,"30,810km",가솔린,,흰색,"1,497cc",0,무사고,1,1,1,1,0,0,0,0
기아 K8 LPG 3.5 (렌터카) 트렌디,"3,050만원",22년 9월식(23년형),"16,478km",LPG,,흰색,"3,470cc",0,무사고,1,1,1,1,0,0,0,0
현대 쏘나타 DN8 하이브리드 프리미엄,"1,950만원",19년 12월식(20년형),"83,632km",가솔린+전기,,쥐색,"1,999cc",0,무사고,1,0,1,1,0,0,0,0
기아 레이 프레스티지,870만원,16년 3월식,"77,301km",가솔린,,쥐색,998cc,0,단순수리,1,0,0,1,0,0,0,1
현대 싼타페 더 프라임 디젤 2.2 4WD 프리미엄,"1,390만원",16년 6월식,"110,569km",디젤,,쥐색,"2,199cc",0,무사고,1,0,1,1,0,0,0,0
기아 올 뉴 K7 2.4 GDI 프레스티지,"1,660만원",18년 12월식,"49,996km",가솔린,,검정색,"2,359cc",0,단순수리,1,1,1,1,0,0,0,0
기아 K5 3세대 가솔린 2.0 노블레스,"2,030만원",20년 1월식,"88,986km",가솔린,,쥐색,"1,999cc",0,무사고,1,1,1,1,0,0,0,0
KG모빌리티(쌍용) 티볼리 LX 2WD 고급형,760만원,15년 6월식,"130,840km",가솔린,,빨간색,"1,597cc",0,단순수리,1,1,0,1,0,0,0,0
기아 더 뉴 모하비 디젤 3.0 4WD 프레지던트,"2,180만원",18년 10월식(19년형),"119,580km",디젤,,쥐색,"2,959cc",0,단순수리,1,1,1,1,0,0,0,0
KG모빌리티(쌍용) 티볼리 LX 2WD 세부등급 없음,"1,140만원",17년 7월식,"61,616km",가솔린,,흰색,"1,597cc",0,사고,1,1,1,1,0,0,0,0
기아 더 뉴 레이 시그니처,"1,550만원",21년 10월식(22년형),"20,532km",가솔린,,흰색,998cc,0,무사고,1,0,1,1,0,0,0,0
쉐보레(GM대우) 크루즈 1.4 터보 LTZ+ 스타일패키지,790만원,14년 7월식,"31,694km",가솔린,,흰색,"1,362cc",0,무사고,1,0,1,0,0,0,0,1
기아 더 뉴 니로 럭셔리,"1,790만원",20년 2월식,"75,919km",가솔린+전기,,쥐색,"1,580cc",0,무사고,1,0,1,1,0,0,0,0
BMW 4시리즈 (F32) 420d xDrive 스포츠 그란쿠페,"2,800만원",20년 11월식(21년형),"40,750km",디젤,,진주색,"1,995cc",0,무사고,1,0,1,1,0,0,0,0
현대 그랜저 HG HG240 럭셔리,680만원,11년 7월식,"120,089km",가솔린,,검정색,"2,359cc",0,무사고,1,0,1,1,0,0,0,1
르노코리아(삼성) SM6 2.0 GDe RE,"1,120만원",16년 4월식,"82,776km",가솔린,,검정색,"1,997cc",0,무사고,1,0,1,1,0,0,0,0
현대 더 뉴 그랜저 가솔린 2.5 프리미엄 초이스,"2,480만원",20년 2월식,"61,874km",가솔린,,검정색,"2,497cc",0,단순수리,1,1,1,0,0,0,0,0
현대 그랜저 IG 2.4 프리미엄 세부등급 없음,"2,180만원",17년 10월식(18년형),"24,946km",가솔린,,검정색,"2,359cc",0,무사고,1,1,1,1,0,0,0,0
BMW 2시리즈 액티브 투어러 (F45) 조이,"1,990만원",20년 3월식,"42,039km",디젤,,쥐색,"1,995cc",0,무사고,1,0,0,1,0,0,0,0
제네시스 GV80 디젤 3.0 2WD (5인승),"5,260만원",20년 12월식,"41,629km",디젤,,청색,"2,996cc",0,무사고,1,1,1,0,0,0,0,0
기아 올 뉴 모닝 (JA) 프레스티지,990만원,19년 4월식,"46,861km",가솔린,,검정색,998cc,0,무사고,1,0,1,1,0,0,0,1
기아 셀토스 가솔린 터보 1.6 2WD 시그니처,"2,280만원",21년 6월식(22년형),"45,770km",가솔린,,흰색,"1,591cc",0,무사고,1,1,1,1,0,0,0,0
기아 더 뉴 기아 레이 시그니처,"1,730만원",23년 3월식,"13,221km",가솔린,,쥐색,998cc,0,무사고,1,1,1,1,0,0,0,0
기아 니로 프레스티지,"1,230만원",16년 6월식(17년형),"148,206km",가솔린+전기,,청색,"1,580cc",0,무사고,1,1,1,1,0,0,0,1
벤츠 GLC-클래스 X253 GLC300 4MATIC 쿠페,"4,270만원",19년 6월식,"38,708km",가솔린,,흰색,"1,991cc",0,무사고,1,0,1,1,0,0,0,0
쉐보레(GM대우) 더 뉴 말리부 2.0 터보 LT 스페셜,"1,170만원",19년 1월식,"103,847km",가솔린,,검정색,"1,998cc",0,단순수리,1,0,1,1,0,0,0,0
기아 K7 하이브리드 700h 프레스티지,"1,290만원",14년 3월식,"93,458km",가솔린+전기,,쥐색,"2,359cc",0,무사고,1,1,1,1,0,0,0,0
현대 그랜저 IG 2.4 프리미엄 스페셜,"1,860만원",18년 4월식,"62,879km",가솔린,,쥐색,"2,359cc",0,사고,1,1,1,1,0,0,0,0
기아 올 뉴 K7 2.4 GDI 리미티드,"1,760만원",18년 4월식,"88,228km",가솔린,,청색,"2,359cc",0,무사고,1,0,1,1,0,0,0,0
기아 쏘렌토 4세대 디젤 2.2 2WD 시그니처,"3,300만원",21년 8월식(22년형),"56,415km",디젤,,흰색,"2,151cc",0,무사고,1,1,1,1,0,0,0,0
현대 더 뉴 그랜저 하이브리드 가솔린 2.4 하이브리드 캘리그래피,"3,950만원",22년 11월식(23년형),"25,483km",가솔린+전기,,쥐색,"2,359cc",0,무사고,1,1,1,0,0,0,0,0
쉐보레(GM대우) 트랙스 크로스오버 터보 1.2 RS,"2,570만원",23년 4월식(24년형),"13,901km",가솔린,,흰색,"1,199cc",0,무사고,0,0,0,0,0,0,0,0
현대 쏘나타 더 브릴리언트 CVVL 스마트,780만원,12년 11월식(13년형),"102,145km",가솔린,,흰색,"1,999cc",0,단순수리,1,0,1,1,0,0,0,1
현대 올 뉴 투싼 디젤 1.7 2WD 모던,"1,130만원",15년 6월식(16년형),"81,281km",디젤,,흰색,"1,685cc",0,단순수리,1,0,1,1,0,0,0,0
기아 K7 프리미어 하이브리드 노블레스,"2,920만원",20년 4월식,"67,019km",가솔린+전기,,검정색,"2,359cc",0,무사고,1,1,1,1,0,0,0,0
현대 더 뉴 그랜저 가솔린 2.5 프리미엄 초이스,"2,420만원",20년 4월식,"59,125km",가솔린,,쥐색,"2,497cc",0,무사고,1,1,1,1,0,0,0,0
기아 더 뉴 레이 프레스티지,"1,270만원",18년 1월식,"48,147km",가솔린,,흰색,998cc,0,무사고,1,0,1,1,0,0,0,1
기아 올 뉴 모닝 (JA) 트렌디,770만원,19년 11월식(20년형),"61,909km",가솔린,,흰색,998cc,0,단순수리,1,0,0,1,0,0,0,1
기아 더 뉴 레이 프레스티지,"1,390만원",20년 6월식,"39,515km",가솔린,,흰색,998cc,0,무사고,1,0,1,1,0,0,0,1
쉐보레(GM대우) 더 넥스트 스파크 LTZ,770만원,16년 4월식,"49,479km",가솔린,,진주색,999cc,0,무사고,1,0,0,1,0,0,0,1
현대 캐스퍼 가솔린 1.0 터보 인스퍼레이션,"1,800만원",23년 5월식,"7,571km",가솔린,,흰색,998cc,0,무사고,1,1,1,1,0,0,0,0
현대 더 뉴 아반떼 AD 1.6 스타일,"1,290만원",19년 3월식,"83,108km",가솔린,,검정색,"1,598cc",0,무사고,1,0,1,1,0,0,0,1
제네시스 G80 3.3 GDI AWD 럭셔리,"1,750만원",17년 1월식,"166,572km",가솔린,,은회색,"3,342cc",0,무사고,1,1,1,1,0,0,0,0
쉐보레(GM대우) 더 뉴 스파크 LT,810만원,18년 10월식(19년형),"21,898km",가솔린,,진주색,999cc,0,사고,1,0,0,0,0,0,0,1
기아 올 뉴 K3 프레스티지,"1,590만원",19년 4월식,"38,073km",가솔린,,흰색,"1,598cc",0,무사고,1,1,1,1,0,0,0,0
기아 모닝 어반 가솔린 1.0 프레스티지,"1,170만원",22년 8월식(23년형),"16,124km",가솔린,,흰색,998cc,0,무사고,1,1,0,1,0,0,0,1
현대 아반떼 AD 1.6 GDI 밸류 플러스,"1,330만원",18년 8월식,"48,012km",가솔린,,진주색,"1,591cc",0,무사고,1,0,1,1,0,0,0,1
기아 더 뉴 니로 노블레스 스폐셜,"2,050만원",20년 4월식,"76,508km",가솔린+전기,,청색,"1,580cc",0,무사고,1,1,1,1,0,0,0,0
쉐보레(GM대우) 트레일블레이저 1.3 가솔린 터보 2WD 엑티브,"1,590만원",20년 4월식(21년형),"85,405km",가솔린,,검정색,"1,341cc",0,무사고,1,0,0,1,0,0,0,0
현대 아반떼 AD 1.6 GDI 스마트 세부등급 없음,820만원,16년 3월식,"128,534km",가솔린,,흰색,"1,591cc",0,사고,1,0,1,1,0,0,0,1
기아 더 뉴 K3 2세대 노블레스,"2,130만원",22년 6월식,"3,401km",가솔린,,검정색,"1,598cc",0,무사고,1,1,1,1,0,0,0,0
기아 더 뉴 쏘렌토 디젤 2.0 2WD 노블레스,"2,350만원",19년 10월식(20년형),"35,658km",디젤,,흰색,"1,995cc",0,무사고,1,1,1,1,0,0,0,0
르노코리아(삼성) SM6 2.0 GDe LE,"1,080만원",19년 2월식,"92,183km",가솔린,,검정색,"1,997cc",0,단순수리,1,0,0,1,0,0,0,0
쉐보레(GM대우) 크루즈 2.0 LTZ+,620만원,14년 1월식,"66,612km",디젤,,쥐색,"1,998cc",0,무사고,1,0,1,1,0,0,0,1
기아 더 뉴 레이 시그니처,"1,430만원",21년 7월식,"32,387km",가솔린,,검정색,998cc,0,무사고,1,0,1,1,0,0,0,0
기아 올 뉴 K3 노블레스,"1,650만원",19년 4월식,"69,673km",가솔린,,쥐색,"1,598cc",0,무사고,1,1,1,1,0,0,0,0
쉐보레(GM대우) 더 뉴 스파크 LT,810만원,18년 8월식(19년형),"41,237km",가솔린,,쥐색,999cc,0,무사고,1,0,0,1,0,0,0,1
기아 더 뉴 레이 시그니처,"1,550만원",22년 9월식,"21,588km",가솔린,,검정색,998cc,0,무사고,1,0,1,1,0,0,0,0
현대 캐스퍼 가솔린 1.0 터보 인스퍼레이션,"1,750만원",22년 7월식(23년형),"19,706km",가솔린,,흰색,998cc,0,무사고,1,1,1,1,0,0,0,0
BMW 7시리즈 (F01) 740d xDrive,"2,450만원",15년 5월식,"122,450km",디젤,,쥐색,"2,993cc",0,무사고,1,1,1,1,0,0,0,0
미니 쿠퍼 (3세대 F/L) 5도어 T1,"2,950만원",23년 4월식,"5,717km",가솔린,,진주색,"1,499cc",0,무사고,1,0,0,1,0,0,0,1
현대 그랜저 IG 2.4 프리미엄 세부등급 없음,"2,060만원",19년 2월식,"73,311km",가솔린,,검정색,"2,359cc",0,무사고,1,1,1,1,0,0,0,0
현대 올 뉴 투싼 TL 가솔린 1.6 터보 2WD 프리미엄,"2,290만원",19년 9월식,"44,237km",가솔린,,흰색,"1,591cc",0,무사고,1,1,1,1,0,0,0,0
KG모빌리티(쌍용) 티볼리 아머 기어 플러스 2WD,"1,420만원",19년 5월식,"65,951km",가솔린,,흰색,"1,597cc",0,무사고,1,1,0,1,0,0,0,1
쉐보레(GM대우) 크루즈 1.8 LT+,590만원,13년 8월식(14년형),"62,215km",가솔린,,흰색,"1,796cc",0,무사고,1,0,1,0,0,0,0,1
쉐보레(GM대우) 트레일블레이저 1.3 가솔린 터보 2WD RS,"2,280만원",21년 3월식(22년형),"7,616km",가솔린,,흰색투톤,"1,341cc",0,무사고,1,1,0,1,0,0,0,0
벤츠 E-클래스 W213 E300 4MATIC 익스클루시브,"4,390만원",20년 3월식,"29,654km",가솔린,,쥐색,"1,991cc",0,무사고,1,1,1,0,0,0,0,0
기아 올 뉴 K7 2.4 GDI 리미티드,"1,520만원",17년 4월식,"79,006km",가솔린,,검정색,"2,359cc",0,단순수리,1,1,1,1,0,0,0,0
르노코리아(삼성) XM3 가솔린 터보 1.3 인스파이어,"2,070만원",22년 11월식(23년형),"18,376km",가솔린,,흰색,"1,332cc",0,단순수리,1,0,1,1,0,0,0,0
현대 제네시스 DH G330 프리미엄 AWD,"1,610만원",15년 1월식,"127,438km",가솔린,,쥐색,"3,342cc",0,무사고,1,1,1,1,0,0,0,0
르노코리아(삼성) SM6 2.0 GDe RE,"1,030만원",17년 4월식,"137,588km",가솔린,,쥐색,"1,997cc",0,사고,1,1,1,1,0,0,0,0
기아 더 뉴 카니발 7인승 리무진 프레지던트,"2,310만원",19년 3월식,"113,577km",디젤,,쥐색,"2,199cc",0,무사고,1,1,1,0,0,0,0,0
기아 레이 럭셔리,730만원,12년 6월식(13년형),"81,042km",가솔린,,진주색,998cc,0,무사고,1,0,0,0,0,0,0,1
르노코리아(삼성) QM6 디젤 2WD LE,"1,090만원",18년 10월식(19년형),"159,103km",디젤,,쥐색,"1,995cc",0,무사고,1,0,1,1,0,0,0,0
현대 팰리세이드 가솔린 3.8 4WD 프레스티지 (7인승),"3,400만원",21년 7월식(22년형),"40,505km",가솔린,,흰색,"3,778cc",0,무사고,1,1,1,0,0,0,0,0
쉐보레(GM대우) 트래버스 가솔린 4WD 3.6 AWD 레드라인,"3,390만원",21년 12월식,"43,977km",가솔린,,검정색,"3,564cc",0,무사고,1,1,1,1,0,0,0,0
기아 올 뉴 K7 2.4 GDI 프레스티지,"1,290만원",18년 2월식,"127,756km",가솔린,,검정색,"2,359cc",0,무사고,1,1,1,1,0,0,0,0
제네시스 G80 3.3 GDI AWD 럭셔리,"2,550만원",18년 9월식(19년형),"63,944km",가솔린,,검정색,"3,342cc",0,무사고,1,1,1,1,0,0,0,0
KG모빌리티(쌍용) 티볼리 LX 2WD 최고급형,990만원,15년 2월식,"98,942km",가솔린,,청색,"1,597cc",0,단순수리,1,1,1,1,0,0,0,0
현대 포터2 CRDi 카고 초장축 더블캡  모던,"1,450만원",19년 8월식,"97,098km",디젤,,흰색,"2,497cc",0,단순수리,1,0,0,0,0,0,0,1
기아 더 뉴 쏘렌토 디젤 2.2 2WD 노블레스,"2,290만원",18년 1월식,"46,564km",디젤,,흰색,"2,199cc",0,무사고,1,1,1,1,0,0,0,0
기아 K8 가솔린 2.5 노블레스,"3,210만원",21년 9월식(22년형),"12,097km",가솔린,,검정색,"2,497cc",0,무사고,1,1,1,1,0,0,0,0
쉐보레(GM대우) 더 뉴 트랙스 1.4 LT 코어,990만원,19년 3월식,"89,774km",가솔린,,쥐색,"1,362cc",0,사고,1,0,1,1,0,0,0,1
현대 더 뉴 싼타페 하이브리드 가솔린 터보 1.6 2WD 프레스티지 초이스,"3,670만원",23년 5월식,"22,398km",가솔린+전기,,흰색,"1,598cc",0,무사고,1,1,1,0,0,0,0,0
KG모빌리티(쌍용) G4 렉스턴 디젤 2.2 4WD 화이트 에디션,"2,560만원",20년 9월식,"46,410km",디젤,,흰색,"2,157cc",0,무사고,1,1,1,1,0,0,0,0
렉서스 CT200h 1.8 슈프림 ZWA10,"1,950만원",18년 11월식(19년형),"77,058km",가솔린+전기,,은회색,"1,798cc",0,사고,1,0,0,1,0,0,0,0
기아 모닝 어반 가솔린 1.0 프레스티지,"1,020만원",20년 10월식(21년형),"38,252km",가솔린,,진주색,998cc,0,단순수리,1,1,1,1,0,0,0,1
제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,"4,580만원",21년 2월식,"34,848km",가솔린,,청색,"2,497cc",0,단순수리,1,1,1,0,0,0,0,0
현대 그랜저 IG 2.4 프리미엄 세부등급 없음,"2,190만원",19년 8월식,"54,177km",가솔린,,검정색,"2,359cc",0,무사고,1,1,1,1,0,0,0,0
기아 셀토스 디젤 1.6 2WD 프레스티지,"1,720만원",20년 4월식,"73,726km",디젤,,청색,"1,598cc",0,무사고,1,1,1,1,0,0,0,0
