차종,가격,연식,주행거리,연료,변속기,색상,배기량,소유자변경,사고이력,열선시트,통풍시트,내비게이션,스마트키,썬루프,오토라이트,주차감지센서,가죽시트
기아 더 뉴 레이 럭셔리,940만원,19년 9월식,"65,753km",가솔린,,검정색,998cc,0,사고,1,0,0,1,0,0,0,1
현대 쏘나타 DN8 2.0 가솔린 인스퍼레이션,"2,440만원",19년 8월식(20년형),"18,358km",가솔린,,흰색,"1,999cc",0,무사고,1,1,1,1,0,0,0,0
현대 싼타페 TM 디젤 2.2 4WD 익스클루시브,"2,000만원",18년 10월식(19년형),"105,534km",디젤,,은색,"2,199cc",0,단순수리,1,1,1,1,0,0,0,0
현대 쏘나타 DN8 하이브리드 프리미엄 패밀리,"2,420만원",21년 2월식,"33,318km",가솔린+전기,,검정색,"1,999cc",0,단순수리,1,1,1,1,0,0,0,0
기아 더 뉴 모하비 디젤 3.0 4WD 프레지던트,"1,990만원",16년 5월식(17년형),"124,195km",디젤,,검정색,"2,959cc",0,단순수리,1,1,1,1,0,0,0,0
기아 쏘렌토 4세대 디젤 2.2 2WD 트렌디,"2,730만원",20년 7월식(21년형),"12,864km",디젤,,검정색,"2,151cc",0,무사고,1,0,1,1,0,0,0,0
기아 올 뉴 카렌스 2.0 LPi 프레스티지,"1,180만원",15년 12월식(16년형),"88,883km",LPG,,쥐색,"1,999cc",0,무사고,1,1,1,1,0,0,0,0
현대 쏘나타 DN8 2.0 가솔린 프리미엄,"1,550만원",19년 4월식(20년형),"111,799km",가솔린,,흰색,"1,999cc",0,무사고,1,0,1,1,0,0,0,0
기아 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 4WD 노블레스,"4,060만원",20년 9월식(21년형),"12,664km",가솔린+전기,,진주색,"1,598cc",0,무사고,1,1,1,0,0,0,0,0
기아 레이 럭셔리,950만원,15년 2월식(16년형),"27,520km",가솔린,,흰색,998cc,0,무사고,1,0,0,1,0,0,0,1
쉐보레(GM대우) 더 넥스트 스파크 LT 플러스,690만원,16년 4월식,"37,886km",가솔린,,흰색,999cc,0,무사고,1,0,1,1,0,0,0,1
벤츠 CLA-클래스 C117 CLA200 d 4MATIC NAVI,"1,730만원",16년 3월식,"84,084km",디젤,,흰색,"2,143cc",0,무사고,1,0,1,1,0,0,0,0
르노코리아(삼성) 더 뉴 QM6 가솔린 2WD 2.0 GDe 볼드 에디션,"1,750만원",20년 9월식,"92,866km",가솔린,,흰색,"1,997cc",0,단순수리,1,1,1,1,0,0,0,0
기아 올 뉴 모닝 (JA) 럭셔리,970만원,20년 1월식,"14,179km",가솔린,,진주색,998cc,0,단순수리,1,0,0,1,0,0,0,1
기아 모닝 어반 가솔린 1.0 베스트 셀렉션,"1,220만원",22년 1월식,"27,476km",가솔린,,검정색,998cc,0,무사고,1,1,0,1,0,0,0,0
기아 더 뉴 레이 스탠다드,"1,230만원",21년 11월식(22년형),"23,629km",가솔린,,흰색,998cc,0,사고,1,0,0,1,0,0,0,1
르노코리아(삼성) SM7 노바 2.5 V6,"1,130만원",19년 12월식,"73,290km",가솔린,,흰색,"2,495cc",0,사고,1,1,1,1,0,0,0,0
쉐보레(GM대우) 더 뉴 스파크 밴 세부등급 없음,610만원,18년 8월식(19년형),"68,514km",가솔린,,흰색,999cc,0,무사고,0,0,0,0,0,0,0,0
기아 더 뉴 K7 2.4 GDI 프레스티지 스페셜,790만원,13년 6월식,"137,256km",가솔린,,검정색,"2,359cc",0,단순수리,1,0,1,1,0,0,0,0
현대 그랜저 IG 3.3 셀러브리티,"1,940만원",17년 11월식(18년형),"105,760km",가솔린,,쥐색,"3,342cc",0,단순수리,1,1,1,0,0,0,0,0
KG모빌리티(쌍용) 티볼리 디젤 VX 2WD,810만원,15년 9월식(16년형),"92,270km",디젤,,흰색,"1,597cc",0,무사고,1,0,1,1,0,0,0,1
벤츠 E-클래스 W213 E450 4MATIC 익스클루시브,"4,370만원",20년 6월식,"81,448km",가솔린,,은색,"2,996cc",0,무사고,1,1,1,0,0,0,0,0
기아 더 뉴 K3 트렌디 세부등급 없음,940만원,16년 2월식,"81,623km",가솔린,,흰색,"1,591cc",0,단순수리,1,0,1,1,0,0,0,1
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,"3,550만원",21년 7월식,"31,453km",가솔린,,청색,"1,998cc",0,무사고,1,0,1,1,0,0,0,0
현대 그랜저 IG 2.2 디젤 프리미엄 세부등급 없음,"1,830만원",17년 1월식,"101,170km",디젤,,쥐색,"2,199cc",0,무사고,1,1,1,1,0,0,0,0
기아 K3 노블레스,850만원,13년 7월식,"54,907km",가솔린,,쥐색,"1,591cc",0,사고,1,0,1,1,0,0,0,0
현대 LF 쏘나타 하이브리드 2.0 HEV 프리미엄,"1,280만원",15년 2월식,"106,959km",가솔린+전기,,쥐색,"1,999cc",0,단순수리,1,1,0,1,0,0,0,0
KG모빌리티(쌍용) 뉴코란도 C 2.0 어드벤처 60th 에디션 4WD,790만원,14년 8월식(15년형),"92,273km",디젤,,흰색,"1,998cc",0,무사고,1,1,1,1,0,0,0,1
현대 그랜저 HG 하이브리드 프리미엄,"1,180만원",15년 8월식(16년형),"131,235km",가솔린+전기,,검정색,"2,359cc",0,단순수리,1,1,1,1,0,0,0,0
현대 포터2 CRDi 카고 초장축 슈퍼캡  스마트,"1,250만원",19년 3월식,"132,801km",디젤,,흰색,"2,497cc",0,무사고,1,0,0,0,0,0,0,1
기아 올 뉴 K3 트렌디,"1,320만원",20년 5월식,"42,899km",가솔린,,흰색,"1,598cc",0,무사고,1,0,1,1,0,0,0,1
르노코리아(삼성) 뉴 QM6 LPG 2.0 (일반인 판매용) LE 시그니처,"1,990만원",21년 10월식(22년형),"43,214km",LPG,,흰색,"1,998cc",0,단순수리,1,1,1,1,0,0,0,0
현대 그랜저 IG 2.4 익스클루시브 스페셜,"2,190만원",18년 12월식(19년형),"68,443km",가솔린,,쥐색,"2,359cc",0,사고,1,1,1,0,0,0,0,0
기아 더 뉴 레이 프레스티지,"1,330만원",20년 3월식,"34,546km",가솔린,,흰색,998cc,0,단순수리,1,0,1,1,0,0,0,0
현대 싼타페 TM 디젤 2.0 2WD 익스클루시브 스페셜,"1,920만원",19년 1월식,"87,466km",디젤,,검정색,"1,995cc",0,사고,1,1,1,1,0,0,0,0
현대 더 뉴 그랜저 가솔린 2.5 캘리그래피,"3,280만원",20년 5월식,"33,921km",가솔린,,은회색,"2,497cc",0,무사고,1,1,1,1,0,0,0,0
현대 더 뉴 그랜저 가솔린 2.5 프리미엄 초이스,"2,440만원",20년 1월식,"76,509km",가솔린,,검정색,"2,497cc",0,무사고,1,1,1,1,0,0,0,0
현대 그랜저 HG HG300 익스클루시브,"1,150만원",15년 7월식(16년형),"98,418km",가솔린,,흰색,"2,999cc",0,사고,1,1,1,1,0,0,0,0
르노코리아(삼성) QM6 디젤 4WD RE 시그니처,"1,460만원",17년 10월식,"97,684km",디젤,,흰색,"1,995cc",0,무사고,1,1,1,1,0,0,0,0
KG모빌리티(쌍용) 티볼리 아머 LX 2WD,"1,390만원",18년 5월식,"49,187km",가솔린,,청색,"1,597cc",0,무사고,1,1,0,1,0,0,0,0
현대 그랜저 IG 2.4 프리미엄 세부등급 없음,"1,650만원",18년 1월식,"114,926km",가솔린,,검정색,"2,359cc",0,무사고,1,1,1,1,0,0,0,0
기아 올 뉴 쏘렌토 디젤 2.0 2WD 노블레스 스페셜,"1,590만원",17년 6월식,"71,183km",디젤,,쥐색,"1,995cc",0,단순수리,1,1,1,1,0,0,0,0
기아 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 4WD 시그니처 그래비티,"4,300만원",21년 12월식(22년형),"20,755km",가솔린+전기,,청색,"1,598cc",0,무사고,1,1,1,0,0,0,0,0
볼보 XC40 T4 인스크립션,"3,240만원",19년 4월식,"68,312km",가솔린,,흰색,"1,969cc",0,무사고,1,0,1,1,0,0,0,0
현대 싼타페 TM 디젤 2.0 2WD 익스클루시브,"1,870만원",18년 3월식(19년형),"124,132km",디젤,,쥐색,"1,995cc",0,무사고,1,1,1,1,0,0,0,0
현대 더 뉴 그랜저 가솔린 3.3 익스클루시브,"2,220만원",20년 1월식,"101,801km",가솔린,,검정색,"3,342cc",0,무사고,1,1,1,0,0,0,0,0
현대 i30(신형) 디젤 1.6 VGT 유니크,650만원,12년 12월식,"83,191km",디젤,,은색,"1,582cc",0,무사고,1,0,1,1,0,0,0,1
